Id,Label
Recife,capital
Caruaru,polo do agreste
Petrolina,polo do sertão
Olinda,patrimônio histórico
Caboatã,zona metropolitana
Paulista,zona metropolitana
Camaragibe,zona metropolitana
Jaboatao,zona metropolitana
Ipojuca,polo industrial
Vitoria_Santo_Antao,polo da mata sul
Palmares,polo da mata sul
Garanhuns,polo do agreste meridional
Arcoverde,sertão central
Serra_Talhada,sertão do pajeú
Salgueiro,sertão central
Araripina,chapada do Araripe
Ouricuri,sertão do Araripe
Floresta,sertão do São Francisco
Belo_Jardim,agreste central
Bezerros,agreste central
Surubim,agreste setentrional
Limoeiro,agreste setentrional
Pesqueira,agreste central
Buique,agreste do Ipanema
Aguas_Belas,agreste do Ipanema
Afogados,sertão do pajeú
